"","code_insee","commune","code_region","region","code_departement","departement","pop_total","pop_unemployment","pop_executive","pop_employment","pop_worker","pop_no_degree","pop_degree","unemployment","farming","executive","employment","worker","student","no_degree","degree","rent","maison","home","caneva"
"1606","34240","Saint-Aunès","76","Occitanie","34","Hérault",3557,164,505,545,225,309,385,8.81246641590543,0.537345513164965,27.1359484148307,29.2853304674906,12.0902740462117,48.2300884955752,11.6121758737317,14.4682450206689,26.2868908716541,76.1153054221002,23.6101578586136,"sud"
"1607","34244","Saint-Brès","76","Occitanie","34","Hérault",3006.00000000001,184.260198644698,267.963063518714,477.3341972161,200.827989542029,394.688182581538,222.636564228161,12.474031175802,0.70415906423283,18.1405405664477,32.3145296767616,13.5956360676213,43.1206018857498,17.6935748066168,9.98062996995184,33.0486088230324,71.8518512715288,23.3805217914557,"sud"
"1608","34246","Entre-Vignes","76","Occitanie","34","Hérault",2128,106.296186913101,180.495104866667,205.533440758551,170.193837388889,400.092654017093,160.44252750865,11.244456990817,2.12163209871407,19.093530094221,21.7421904011809,18.003818765258,50.467991650228,23.9902823897805,9.6204254280015,17.1788153652114,91.6561341728201,8.22122893644632,"sud"
"1609","34247","Saint-Clément-de-Rivière","76","Occitanie","34","Hérault",4923,250,730,260,110,265,1148,13.2205182443152,0.793231094658911,38.6039132734003,13.7493389740878,5.81702802749868,81.7596566523605,7.15056664867782,30.9767943874798,25.6258534365043,75.92171142467,23.9417387346381,"sud"
"1610","34249","Saint-Drézéry","76","Occitanie","34","Hérault",2630,121.356111306798,301.074321944347,333.49771046143,148.221204649524,171.380767876013,296.442409299049,8.89341479972846,1.01832993890021,22.0638153428378,24.439918533605,10.8621860149355,54.4041450777202,9.05531081742535,15.6632403328438,19.9463327370305,85.9570661896245,13.7745974955277,"sud"
"1611","34255","Saint-Gély-du-Fesc","76","Occitanie","34","Hérault",9996.00000000001,373.718494287571,1498.55902862805,893.371728605184,355.427461918191,682.603949248562,1810.01444063486,8.34128534063216,0.107203175040196,33.4473906125412,19.9397905574765,7.9330349529745,62.3039917093889,9.17274186764962,24.3227354001377,22.093023255814,84.7209302325583,15.093023255814,"sud"
"1612","34259","Saint-Georges-d'Orques","76","Occitanie","34","Hérault",5476,333.781654676259,453.793165467626,692.888489208633,419.636690647482,532.408904351928,621.105879231042,12.7286344996169,0,17.3052271170026,26.4230349528426,16.002683140454,49.3368700265253,12.9459614398113,15.1027015078811,34.6018875524773,70.0197426580108,29.5702534706435,"sud"
"1613","34270","Saint-Jean-de-Védas","76","Occitanie","34","Hérault",10452,571.761570340342,1174.99812562183,1283.72673523446,445.892283734005,989.21633331382,1183.35902760816,11.667118818931,0.211553971278825,23.976502540195,26.1951714280194,9.09868470466188,62.8485983038126,13.0322297165846,15.5899232206585,27.9533155307501,72.6775853101251,27.0306726350097,"sud"
"1614","34272","Saint-Just","76","Occitanie","34","Hérault",3266,157.840121580547,223.358662613982,516.206686930091,312.702127659574,363.33009118541,170.745288753799,9.54381752701079,0.600240096038415,13.5054021608643,31.2124849939976,18.90756302521,38.425925925926,15.5150487494701,7.29122509537939,28.1914893617021,87.5379939209729,12.3100303951368,"sud"
"1615","34274","Saint-Martin-de-Londres","76","Occitanie","34","Hérault",2761,126.282456532314,255.556233346056,330.741516025545,210.410263048283,331.713662613716,252.53476822443,9.26530868193654,1.1026740999755,18.7500897002136,24.2664129607282,15.4377424269614,49.0903807012375,16.6650164657911,12.6871351559182,28.8466902634111,84.8011464120848,14.1067448701991,"sud"
"1616","34276","Saint-Mathieu-de-Tréviers","76","Occitanie","34","Hérault",4836,258.611602344725,535.058487609777,708.457071557389,351.751413150872,515.538826174146,545.975991224464,10.7871688639645,0.61995223356118,22.3182804082025,29.5510564664163,14.672202860948,56.9374739009274,15.035743900048,15.923447008922,31.6172646905876,73.1669266770674,26.6250650026001,"sud"
"1617","34281","Saint-Pargoire","76","Occitanie","34","Hérault",2294,131,65,300,230,356,101,12.6815101645692,5.324298160697,6.29235237173282,29.0416263310745,22.2652468538238,34.0425531914894,21.1275964391691,5.99406528189911,21.3675213675214,91.4529914529915,8.01282051282051,"sud"
"1618","34289","Saint-Thibéry","76","Occitanie","34","Hérault",2739.99999999999,227.500137645463,108.003140578916,422.31341122449,283.322228932688,470.559830487425,89.1347693976373,18.5842295752212,1.2481382761912,8.82265470314315,34.498306102661,23.1442732331615,34.2118480969512,23.1774000566398,4.39032844589692,29.0514521389206,80.8222751948243,19.0916181813771,"sud"
"1619","34298","Sauvian","76","Occitanie","34","Hérault",5419,349.553749538234,197.487994089398,730.705578130773,399.913188031031,769.516208648538,179.755620158151,16.1421772343308,0.683990560776731,9.11987414368972,33.743534331652,18.4677451409717,37.8048780487805,18.6618206050227,4.35931965881197,26.045141701268,85.5208578271867,14.3519702177905,"sud"
"1620","34299","Sérignan","76","Occitanie","34","Hérault",7053,492.500856855524,337.554499012234,922.667462621598,495.547834542021,1526.39710448488,251.948117958614,19.0447560745178,0.19514423342237,13.0530597176807,35.6790785618417,19.1625811422229,41.2483959211432,26.7979561167727,4.42328840176681,28.6951819838298,78.825934594451,20.1900308992827,"sud"
"1621","34300","Servian","76","Occitanie","34","Hérault",5126,349,190,775,400,822,185,14.9592798971282,1.71453064723532,8.14402057436777,33.2190312901843,17.1453064723532,34.6007604562738,21.9024780175859,4.92938982147615,28.1073446327684,86.7231638418079,12.7118644067797,"sud"
"1622","34301","Sète","76","Occitanie","34","Hérault",43686,3399.15274525299,1914.69483615129,5514.49224001574,3231.04161320721,8173.07285790392,2922.00390507281,21.2381426227741,0.772643223123655,11.9631464240786,34.4549308203915,20.1877725845785,47.2798564161898,23.5884901242236,8.43326144965134,52.4994879438291,21.7432098327922,78.0898419423792,"sud"
"1623","34307","Sussargues","76","Occitanie","34","Hérault",2776,135.750798103999,317.082156155326,317.082156155326,108.996991178393,212.870587478707,322.017788602125,10.3085026335591,1.12866817155756,24.0782543265613,24.0782543265613,8.27689992475542,57.2413793103449,10.6164891344542,16.0599845863506,22.4183583406885,86.7608120035305,13.0626654898499,"sud"
"1624","34309","Teyran","76","Occitanie","34","Hérault",4585,198.508794258111,569.599438856284,475.771861648101,201.51449166733,431.348897448821,583.270102562032,9.69650304959593,0.496107088207251,27.8230630363743,23.2398938526838,9.8433215026704,57.5537718684044,12.18682827815,16.4790326850107,16.5135193985401,91.6552176172333,7.94730863686066,"sud"
